k,logW,E.log,gap,SE.sim
1,6.9438932,7.399553,0.4556594,0.02642229
2,6.7529984,7.222014,0.4690153,0.02538548
3,6.6220027,7.124861,0.5028587,0.02513127
4,6.4921223,7.045668,0.5535459,0.02513277
5,6.3858993,6.978424,0.5925248,0.02540509
6,6.3067778,6.918781,0.6120031,0.02579447
7,6.2330877,6.864382,0.6312944,0.02616875
8,6.1546685,6.814237,0.6595690,0.02636990
9,6.0972300,6.767135,0.6699048,0.02667607
10,6.0367093,6.722407,0.6856976,0.02702146
11,5.9889526,6.679633,0.6906799,0.02741946
12,5.9359189,6.638350,0.7024310,0.02769141
13,5.8641134,6.598394,0.7342802,0.02807962
14,5.7788238,6.559247,0.7804236,0.02861444
15,5.7254108,6.520954,0.7955427,0.02896580
16,5.6587656,6.483357,0.8245916,0.02944977
17,5.5947446,6.446090,0.8513458,0.02986245
18,5.5373891,6.409326,0.8719373,0.03027972
19,5.4725644,6.372637,0.9000731,0.03071722
20,5.4082594,6.336285,0.9280253,0.03127117
21,5.3561361,6.300011,0.9438747,0.03166953
22,5.3077157,6.263739,0.9560234,0.03213681
23,5.2406895,6.227267,0.9865773,0.03257260
24,5.1928401,6.190849,0.9980092,0.03308786
25,5.1373347,6.154254,1.0169198,0.03354936
26,5.0838948,6.117396,1.0335016,0.03394349
27,5.0314329,6.080271,1.0488376,0.03440647
28,4.9733869,6.042708,1.0693213,0.03490200
29,4.9275642,6.004912,1.0773482,0.03547129
30,4.8561145,5.966491,1.1103767,0.03596688
31,4.7955641,5.927594,1.1320298,0.03651982
32,4.7275033,5.888176,1.1606729,0.03712246
33,4.6588346,5.848101,1.1892666,0.03759122
34,4.6004710,5.807305,1.2068341,0.03814845
35,4.5339003,5.765947,1.2320467,0.03865489
36,4.4383665,5.723506,1.2851397,0.03941165
37,4.3825462,5.680373,1.2978267,0.03996418
38,4.2969764,5.636051,1.3390745,0.04047095
39,4.2332900,5.591113,1.3578226,0.04119917
40,4.1487304,5.544807,1.3960764,0.04184522
41,4.0778177,5.497355,1.4195378,0.04246999
42,4.0161642,5.448460,1.4322961,0.04321607
43,3.8801859,5.398003,1.5178174,0.04414555
44,3.7987567,5.346279,1.5475219,0.04465586
45,3.7173969,5.292286,1.5748895,0.04580287
46,3.6221294,5.236782,1.6146527,0.04648764
47,3.4835321,5.178995,1.6954624,0.04733154
48,3.3493913,5.118814,1.7694231,0.04868500
49,3.3185975,5.055784,1.7371866,0.04957521
50,3.1112842,4.990053,1.8787689,0.05060680
51,2.8948610,4.920800,2.0259392,0.05215456
52,2.7329891,4.848223,2.1152338,0.05354407
53,2.3826278,4.770972,2.3883445,0.05438928
54,2.0149030,4.688786,2.6738830,0.05608549
55,1.6094379,4.600529,2.9910911,0.05857483
56,0.9162907,4.505418,3.5891274,0.06003870
57,-Inf,4.403670,Inf,0.06290776
